,R (Å),V(r) (Hartree),V(r) (kJ/mol),Lennard-Jones potential energy (kJ/mol),Exponential potential energy (kJ/mol)
0,3.0,0.00305498,8.02084999,50.593771040439606,7.069414343984382
1,3.25,0.00051811,1.360297805,15.121295715288534,0.9806116727228179
2,3.5,-0.00027898,-0.73246199,3.655326882660617,-0.8498497866178713
5,3.75,-0.00044082,-1.15737291,0.0,-1.178
6,3.775,-0.00044187,-1.160129685,-0.17696166533702035,-1.1760254356578852
7,3.8,-0.00044132,-1.15868566,-0.33247519548659343,-1.1704423471608023
8,3.85,-0.00043621,-1.1452693550000002,-0.5877382288073106,-1.1502911721422253
10,4.0,-0.0003996,-1.0491498000000001,-1.0271338580429834,-1.0435068363216913
11,4.25,-0.00031312,-0.82209656,-1.174280522592199,-0.8149082222629039
12,4.5,-0.0002323,-0.60990365,-1.0495571087728637,-0.6072753280931534
13,5.0,-0.00012296,-0.32283148,-0.6893757948875426,-0.3265883063246561
15,6.0,-3.777e-05,-0.099165135,-0.26411669932713266,-0.09972838188645033
16,7.0,-1.403e-05,-0.036835765,-0.10874662604117648,-0.03183625141695585
