Time,station 1 O3,station 1 NO2
2020-01-01T00:00:00Z,27,6
2020-01-01T01:00:00Z,27,6
2020-01-01T02:00:00Z,27,6
2020-01-01T03:00:00Z,,
2020-01-01T04:00:00Z,26,6
2020-01-01T05:00:00Z,27,5
2020-01-01T06:00:00Z,26,6
2020-01-01T07:00:00Z,25,7
2020-01-01T08:00:00Z,26,7
2020-01-01T09:00:00Z,27,5
2020-01-01T10:00:00Z,26,6
2020-01-01T11:00:00Z,27,5
2020-01-01T12:00:00Z,29,5
2020-01-01T13:00:00Z,33,5
2020-01-01T14:00:00Z,36,4
2020-01-01T15:00:00Z,35,5
2020-01-01T16:00:00Z,33,7
2020-01-01T17:00:00Z,31,9
2020-01-01T18:00:00Z,27,12
2020-01-01T19:00:00Z,23,14
2020-01-01T20:00:00Z,25,11
2020-01-01T21:00:00Z,22,12
2020-01-01T22:00:00Z,16,18
2020-01-01T23:00:00Z,12,21
2020-01-02T00:00:00Z,17,16
2020-01-02T01:00:00Z,17,16
2020-01-02T02:00:00Z,22,11
2020-01-02T03:00:00Z,19,13
2020-01-02T04:00:00Z,20,12
2020-01-02T05:00:00Z,21,12
2020-01-02T06:00:00Z,18,15
2020-01-02T07:00:00Z,17,17
2020-01-02T08:00:00Z,20,15
2020-01-02T09:00:00Z,21,14
2020-01-02T10:00:00Z,23,11
2020-01-02T11:00:00Z,21,14
2020-01-02T12:00:00Z,22,13
2020-01-02T13:00:00Z,24,12
2020-01-02T14:00:00Z,23,13
2020-01-02T15:00:00Z,23,13
2020-01-02T16:00:00Z,21,14
2020-01-02T17:00:00Z,21,15
2020-01-02T18:00:00Z,20,15
2020-01-02T19:00:00Z,19,16
2020-01-02T20:00:00Z,16,19
2020-01-02T21:00:00Z,16,18
2020-01-02T22:00:00Z,19,15
2020-01-02T23:00:00Z,18,14
2020-01-03T00:00:00Z,17,14
2020-01-03T01:00:00Z,20,10
2020-01-03T02:00:00Z,20,9
2020-01-03T03:00:00Z,19,10
2020-01-03T04:00:00Z,13,16
2020-01-03T05:00:00Z,11,17
2020-01-03T06:00:00Z,8,20
2020-01-03T07:00:00Z,8,19
2020-01-03T08:00:00Z,7,21
2020-01-03T09:00:00Z,9,20
2020-01-03T10:00:00Z,14,14
2020-01-03T11:00:00Z,16,13
2020-01-03T12:00:00Z,20,10
2020-01-03T13:00:00Z,24,7
2020-01-03T14:00:00Z,24,9
2020-01-03T15:00:00Z,24,9
2020-01-03T16:00:00Z,20,12
2020-01-03T17:00:00Z,19,14
2020-01-03T18:00:00Z,20,14
2020-01-03T19:00:00Z,19,14
2020-01-03T20:00:00Z,22,12
2020-01-03T21:00:00Z,22,11
2020-01-03T22:00:00Z,20,13
2020-01-03T23:00:00Z,25,10
2020-01-04T00:00:00Z,23,11
2020-01-04T01:00:00Z,27,9
2020-01-04T02:00:00Z,28,8
2020-01-04T03:00:00Z,29,7
2020-01-04T04:00:00Z,28,6
2020-01-04T05:00:00Z,27,6
2020-01-04T06:00:00Z,26,6
2020-01-04T07:00:00Z,17,15
2020-01-04T08:00:00Z,19,13
2020-01-04T09:00:00Z,18,13
2020-01-04T10:00:00Z,17,14
2020-01-04T11:00:00Z,17,15
2020-01-04T12:00:00Z,22,11
2020-01-04T13:00:00Z,24,8
2020-01-04T14:00:00Z,23,9
2020-01-04T15:00:00Z,24,7
2020-01-04T16:00:00Z,22,10
2020-01-04T17:00:00Z,20,11
2020-01-04T18:00:00Z,21,10
2020-01-04T19:00:00Z,21,10
2020-01-04T20:00:00Z,21,9
2020-01-04T21:00:00Z,21,8
2020-01-04T22:00:00Z,22,7
2020-01-04T23:00:00Z,25,5
2020-01-05T00:00:00Z,25,4
2020-01-05T01:00:00Z,25,4
2020-01-05T02:00:00Z,27,4
2020-01-05T03:00:00Z,28,4
2020-01-05T04:00:00Z,29,3
2020-01-05T05:00:00Z,26,4
2020-01-05T06:00:00Z,25,4
2020-01-05T07:00:00Z,25,6
2020-01-05T08:00:00Z,22,10
2020-01-05T09:00:00Z,25,7
2020-01-05T10:00:00Z,27,6
2020-01-05T11:00:00Z,29,4
2020-01-05T12:00:00Z,29,5
